Name,Start,End,Number of Tracks,Length,Electrified,Min Curvature,Speed Limit Track,Speed Limit,Speed Limit Double Tilt,Speed Limit Tilt,Speed Curve,Speed Curve Double Tilt,Speed Curve Tilt
Yennora Station,Yennora Station East,Yennora Station West,2,170,Yes,0,200,200,200,200,200,200,200
Old Southern,Yennora Station West,Fairfield Station East,2,1400,Yes,0,200,200,200,200,200,200,200
Fairfield Station,Fairfield Station East,Fairfield Station West,2,160,Yes,1100,200,130,160,175,130,160,175
Old Southern,Fairfield Station West,Fairfield Straight,2,200,Yes,1100,200,130,160,175,130,160,175
Old Southern,Fairfield Straight,Canley Vale Station North,2,1620,Yes,0,200,200,200,200,200,200,200
Canley Vale Station,Canley Vale Station North,Canley Vale Station South,2,160,Yes,0,200,200,200,200,200,200,200
Old Southern,Canley Vale Station South,Canley Vale Straight,2,340,Yes,0,200,200,200,200,200,200,200
Old Southern,Canley Vale Straight,Cabramatta Split,2,280,Yes,1300,200,140,175,190,140,175,190
Main Southern,Lidcombe Junction South,Berala Straight,2,280,Yes,400,200,75,95,100,75,95,100
Main Southern,Berala Straight,Berala Curve,2,610,Yes,0,200,200,200,200,200,200,200
Main Southern,Berala Curve,Berala Station West,2,270,Yes,400,200,75,95,100,75,95,100
Berala Station,Berala Station West,Berala Station East,2,160,Yes,0,200,200,200,200,200,200,200
Main Southern,Berala Station East,Campbell Street Straight,2,220,Yes,900,200,115,145,155,115,145,155
Main Southern,Campbell Street Straight,Campbell Street Curve,2,350,Yes,0,200,200,200,200,200,200,200
Main Southern,Campbell Street Curve,Regents Park Straight,2,350,Yes,600,200,95,115,125,95,115,125
Main Southern,Regents Park Straight,Regents Park Curve,2,240,Yes,0,200,200,200,200,200,200,200
Main Southern,Regents Park Curve,Regents Park Station North,2,180,Yes,700,200,100,125,135,100,125,135
Regents Park Station,Regents Park Station North,Regents Park Station South,2,160,Yes,700,200,100,125,135,100,125,135
Main Southern,Regents Park Station South,Sefton Junction North,2,250,Yes,700,200,100,125,135,100,125,135
Sefton Junction,Sefton Junction North,Sefton Junction West,2,450,Yes,700,200,100,125,135,100,125,135
Sefton Junction,Sefton Junction North,Sefton Junction South,2,450,Yes,500,200,85,105,115,85,105,115
Sefton Junction,Sefton Junction South,Sefton Junction West,3,530,Yes,200,200,50,65,70,50,65,70
Sefton Junction,Sefton Junction South,Sefton Split,3,80,Yes,200,200,50,65,70,50,65,70
Main Southern,Sefton Junction West,Sefton Station East,3,470,Yes,0,200,200,200,200,200,200,200
Main Southern,Sefton Station East,Sefton Station West,3,160,Yes,0,200,200,200,200,200,200,200
Main Southern,Sefton Station West,Chester Hill Station East,3,950,Yes,0,200,200,200,200,200,200,200
Chester Hill Station,Chester Hill Station East,Chester Hill Station West,3,160,Yes,0,200,200,200,200,200,200,200
Main Southern,Chester Hill Station West,Leightonfield Freight Yards,3,620,Yes,0,200,200,200,200,200,200,200
Main Southern,Leightonfield Freight Yards,Leightonfield Station East,3,580,Yes,0,200,200,200,200,200,200,200
Leightonfield Station,Leightonfield Station East,Leightonfield Station West,3,160,Yes,0,200,200,200,200,200,200,200
Main Southern,Leightonfield Station West,Villawood Station East,3,670,Yes,2800,200,200,200,200,200,200,200
Villawood Station,Villawood Station East,Villawood Station West,3,160,Yes,1500,200,150,190,200,150,190,200
Main Southern,Villawood Station West,Villawood Straight,3,340,Yes,1500,200,150,190,200,150,190,200
Main Southern,Villawood Straight,Carramar Station East,3,900,Yes,0,200,200,200,200,200,200,200
Carramar Station,Carramar Station East,Carramar Station West,3,170,Yes,0,200,200,200,200,200,200,200
Main Southern,Carramar Station West,White Eagle Curve,3,1600,Yes,0,200,200,200,200,200,200,200
Main Southern,White Eagle Curve,Cabramatta Split,3,540,Yes,800,200,110,135,145,110,135,145
Main Southern,Cabramatta Split,Cabramatta Station North,3,230,Yes,1300,200,140,175,190,140,175,190
Cabramatta Station,Cabramatta Station North,Cabramatta Station South,3,170,Yes,1300,200,140,175,190,140,175,190
Bankstown,Sefton Split,Birrong Bend,2,390,Yes,200,200,50,65,70,50,65,70
Bankstown,Birrong Bend,Birrong Station North,2,160,Yes,0,200,200,200,200,200,200,200
Birrong Station,Birrong Station North,Birrong Station South,2,160,Yes,0,200,200,200,200,200,200,200
Bankstown,Birrong Station South,O Neill Park Curve,2,810,Yes,2500,200,200,200,200,200,200,200
Bankstown,O Neill Park Curve,Yagoona Straight,2,270,Yes,400,200,75,95,100,75,95,100
Bankstown,Yagoona Straight,Yagoona Station North,2,310,Yes,0,200,200,200,200,200,200,200
Yagoona Station,Yagoona Station North,Yagoona Station South,2,160,Yes,0,200,200,200,200,200,200,200
Bankstown,Yagoona Station South,Yagoona Curve,2,640,Yes,0,200,200,200,200,200,200,200
Bankstown,Yagoona Curve,Bankstown Station West,2,1040,Yes,400,200,75,95,100,75,95,100
Bankstown Station,Bankstown Station West,Bankstown Station East,2,160,Yes,0,200,200,200,200,200,200,200
Bankstown,Bankstown Station East,Bankstown Curve,2,420,Yes,0,200,200,200,200,200,200,200
Bankstown,Bankstown Curve,Bankstown Straight,2,550,Yes,700,200,100,125,135,100,125,135
Bankstown,Bankstown Straight,Punchbowl Curve,2,780,Yes,0,200,200,200,200,200,200,200
Bankstown,Punchbowl Curve,Punchbowl Station East,2,360,Yes,500,200,85,105,115,85,105,115
Punchbowl Station,Punchbowl Station East,Punchbowl Station West,2,160,Yes,1000,200,125,150,165,125,150,165
Bankstown,Punchbowl Station West,Punchbowl Straight,2,540,Yes,1100,200,130,160,175,130,160,175
Bankstown,Punchbowl Straight,Wiley Park Station West,2,390,Yes,0,200,200,200,200,200,200,200
Wiley Park Station,Wiley Park Station West,Wiley Park Station East,2,160,Yes,0,200,200,200,200,200,200,200
Bankstown,Wiley Park Station East,Lakemba Station East,2,700,Yes,0,200,200,200,200,200,200,200
Lakemba Station,Lakemba Station East,Lakemba Station West,2,170,Yes,0,200,200,200,200,200,200,200
Bankstown,Lakemba Station West,Belmore Station East,2,1070,Yes,1900,200,170,200,200,170,200,200
Belmore Station,Belmore Station East,Belmore Station West,2,170,Yes,1900,200,170,200,200,170,200,200
Bankstown,Belmore Station West,Campsie Split,2,880,Yes,800,200,110,135,145,110,135,145
Bankstown,Campsie Split,Campsie Station West,4,510,Yes,500,200,85,105,115,85,105,115
Campsie Station,Campsie Station West,Campsie Station East,4,170,Yes,0,200,200,200,200,200,200,200
Bankstown,Campsie Station East,Campsie Curve,4,720,Yes,0,200,200,200,200,200,200,200
Bankstown,Campsie Curve,Canterbury Bridge,4,350,Yes,300,200,65,80,85,65,80,85
Bankstown,Canterbury Bridge,Canterbury Station West,4,300,Yes,0,200,200,200,200,200,200,200
Canterbury Station,Canterbury Station West,Canterbury Station East,4,170,Yes,0,200,200,200,200,200,200,200
Bankstown,Canterbury Station East,Canterbury Curve,4,410,Yes,500,200,85,105,115,85,105,115
Bankstown,Canterbury Curve,Hurlstone Park Station West,4,780,Yes,1400,200,145,180,195,145,180,195
Hurlstone Park Station,Hurlstone Park Station West,Hurlstone Park Station East,4,160,Yes,1400,200,145,180,195,145,180,195
Bankstown,Hurlstone Park Station East,Terrace Road,4,550,Yes,500,200,85,105,115,85,105,115
Bankstown,Terrace Road,Dulwich Hill Station West,4,230,Yes,800,200,110,135,145,110,135,145
Dulwich Hill Station,Dulwich Hill Station West,Dulwich Hill Station East,4,170,Yes,800,200,110,135,145,110,135,145
Bankstown,Dulwich Hill Station East,Dulwich Hill Curve,4,690,Yes,800,200,110,135,145,110,135,145
Bankstown,Dulwich Hill Curve,Marrickville Split,4,390,Yes,1100,200,130,160,175,130,160,175
Bankstown,Marrickville Split,Marrickville Station West,4,60,Yes,1100,200,130,160,175,130,160,175
Marrickville Station,Marrickville Station West,Marrickville Station East,4,170,Yes,1100,200,130,160,175,130,160,175
Bankstown,Marrickville Station East,Sydenham Outer Junction West,4,360,Yes,1900,200,170,200,200,170,200,200
Sydenham Junction,Sydenham Outer Junction West,Sydenham Inner Junction Curve,2,290,Yes,1900,200,170,200,200,170,200,200
Sydenham Junction,Sydenham Inner Junction Curve,Sydenham Outer Junction East,2,130,Yes,300,200,65,80,85,65,80,85
Sydenham Junction,Sydenham Outer Junction East,Bankstown Split,4,130,Yes,300,200,65,80,85,65,80,85
Sydenham Junction,Marrickville Split,O Hara Curve,2,320,Yes,600,200,95,115,125,95,115,125
Sydenham Junction,O Hara Curve,Sydenham Inner Junction North,2,350,Yes,300,200,65,80,85,65,80,85
Sydenham Junction,Sydenham Inner Junction North,Sydenham Inner Junction East,2,190,Yes,300,200,65,80,85,65,80,85
Sydenham Junction,Sydenham Inner Junction North,Sydenham Inner Junction South,3,220,Yes,200,200,50,65,70,50,65,70
Sydenham Junction,Sydenham Inner Junction East,Sydenham Inner Junction South,2,250,Yes,200,200,50,65,70,50,65,70
Sydenham Junction,Sydenham Inner Junction East,Sydenham Outer Junction East,3,220,Yes,1300,200,140,175,190,140,175,190
Sydenham Junction,Sydenham Inner Junction South,Sydenham Outer Junction South,3,370,Yes,1200,200,135,165,180,135,165,180
Illawara,Redfern Split,Eveleigh Railway Yards South,4,660,Yes,700,200,100,125,135,100,125,135
Illawara,Eveleigh Railway Yards South,Erskineville Station North,4,100,Yes,700,200,100,125,135,100,125,135
Erskineville Station,Erskineville Station North,Erskineville Station South,4,160,Yes,700,200,100,125,135,100,125,135
Illawara,Erskineville Station South,Erskineville Curve,4,240,Yes,0,200,200,200,200,200,200,200
Illawara,Erskineville Curve,St Peters East,4,520,Yes,600,200,95,115,125,95,115,125
St Peters Station,St Peters East,St Peters West,4,160,Yes,0,200,200,200,200,200,200,200
Illawara,St Peters West,St Peters Curve,4,240,Yes,0,200,200,200,200,200,200,200
Illawara,St Peters Curve,Sydenham Straight,4,380,Yes,800,200,110,135,145,110,135,145
Illawara,Sydenham Straight,Sydenham Station East,4,720,Yes,0,200,200,200,200,200,200,200
Sydenham Station,Sydenham Station East,Sydenham Station West,6,160,Yes,0,200,200,200,200,200,200,200
Illawara,Sydenham Station West,Bankstown Split,6,200,Yes,0,200,200,200,200,200,200,200
Illawara,Bankstown Split,Sydenham Bend,4,550,Yes,0,200,200,200,200,200,200,200
Illawara,Sydenham Bend,Sydenham Outer Junction South,4,300,Yes,800,200,110,135,145,110,135,145
Illawara,Sydenham Outer Junction South,Tempe Station North,4,330,Yes,800,200,110,135,145,110,135,145
Tempe Station,Tempe Station North,Tempe Station South,4,160,Yes,800,200,110,135,145,110,135,145
Illawara,Tempe Station South,Wolli Creek Station Ground North,4,290,Yes,800,200,110,135,145,110,135,145
Wolli Creek Ground Station,Wolli Creek Station Ground North,Wolli Creek Station Ground South,4,200,Yes,0,200,200,200,200,200,200,200
Illawara,Wolli Creek Station Ground South,Wolli Creek Curve,4,290,Yes,0,200,200,200,200,200,200,200
Illawara,Wolli Creek Curve,Arncliffe Straight,4,310,Yes,900,200,115,145,155,115,145,155
Illawara,Arncliffe Straight,Arncliffe Station North,4,320,Yes,0,200,200,200,200,200,200,200
Arncliffe Station,Arncliffe Station North,Arncliffe Station South,4,160,Yes,0,200,200,200,200,200,200,200
Illawara,Arncliffe Station South,Arncliffe Curve,4,130,Yes,0,200,200,200,200,200,200,200
Illawara,Arncliffe Curve,Arncliffe South Straight,4,290,Yes,700,200,100,125,135,100,125,135
Illawara,Arncliffe South Straight,Banksia Curve,4,270,Yes,0,200,200,200,200,200,200,200
Illawara,Banksia Curve,Banksia Station North,4,330,Yes,1000,200,125,150,165,125,150,165
Banksia Station,Banksia Station North,Banksia Station South,4,160,Yes,0,200,200,200,200,200,200,200
Illawara,Banksia Station South,Rockdale Station North,4,650,Yes,0,200,200,200,200,200,200,200
Rockdale Station,Rockdale Station North,Rockdale Station South,4,160,Yes,0,200,200,200,200,200,200,200
Illawara,Rockdale Station South,Kogarah Station North,4,1040,Yes,0,200,200,200,200,200,200,200
